assignment_id,user_id,deadline,assignment_type,status
1,HUMG724596,2024-06-15,Project,Incomplete
2,HUMG236580,2024-06-20,Report,Incomplete
3,HUMG846732,2024-06-25,Presentation,Incomplete
4,HUMG420146,2024-07-01,Assignment,Incomplete
5,HUMG572138,2024-07-05,Project,Incomplete
6,HUMG491206,2024-07-10,Report,Incomplete
7,HUMG306840,2024-07-15,Presentation,Incomplete
8,HUMG268938,2024-07-20,Assignment,Incomplete
9,HUMG879256,2024-07-25,Project,Incomplete
10,HUMG974385,2024-07-30,Report,Incomplete
11,HUMG170349,2024-08-05,Presentation,Incomplete
12,HUMG905832,2024-08-10,Assignment,Incomplete
13,HUMG239670,2024-08-15,Project,Incomplete
14,HUMG678943,2024-08-20,Report,Incomplete
15,HUMG736401,2024-08-25,Presentation,Incomplete
16,HUMG730549,2024-09-01,Assignment,Incomplete
17,HUMG818245,2024-09-05,Project,Incomplete
18,HUMG510367,2024-09-10,Report,Incomplete
19,HUMG985274,2024-09-15,Presentation,Incomplete
20,HUMG589376,2024-09-20,Assignment,Incomplete
21,HUMG825496,2024-09-25,Project,Incomplete
22,HUMG712594,2024-09-30,Report,Incomplete
23,HUMG594731,2024-10-05,Presentation,Incomplete
24,HUMG164283,2024-10-10,Assignment,Incomplete
25,HUMG715269,2024-10-15,Project,Incomplete
