form_id,user_id,form_type,date,content,status
1,HUMG724596,Feedback,2024-05-07,"Please provide feedback on the latest project progress.",Pending
2,HUMG236580,Expense Report,2024-05-12,"Expense report for the month of April.",Approved
3,HUMG846732,Leave Request,2024-05-17,"Requesting leave for medical reasons from May 20 to May 25.",Pending
4,HUMG420146,Feedback,2024-05-22,"Feedback on the recent marketing campaign.",Pending
5,HUMG572138,Expense Report,2024-05-27,"Expense report for the month of May.",Pending
6,HUMG491206,Leave Request,2024-06-01,"Requesting annual leave from June 10 to June 15.",Approved
7,HUMG306840,Feedback,2024-06-06,"Feedback on the new software implementation.",Pending
8,HUMG268938,Expense Report,2024-06-11,"Expense report for the month of June.",Pending
9,HUMG879256,Leave Request,2024-06-16,"Requesting leave for personal reasons from June 20 to June 25.",Pending
10,HUMG974385,Feedback,2024-06-21,"Feedback on the latest training session.",Pending
11,HUMG170349,Expense Report,2024-06-26,"Expense report for the month of June.",Pending
12,HUMG905832,Leave Request,2024-07-01,"Requesting leave for vacation from July 10 to July 15.",Pending
13,HUMG239670,Feedback,2024-07-06,"Feedback on the recent product launch event.",Pending
14,HUMG678943,Expense Report,2024-07-11,"Expense report for the month of July.",Pending
15,HUMG736401,Leave Request,2024-07-16,"Requesting leave for family matters from July 20 to July 25.",Pending
16,HUMG730549,Feedback,2024-07-21,"Feedback on the latest sales strategy.",Pending
17,HUMG818245,Expense Report,2024-07-26,"Expense report for the month of July.",Pending
18,HUMG510367,Leave Request,2024-08-01,"Requesting leave for professional development from August 10 to August 15.",Pending
19,HUMG985274,Feedback,2024-08-06,"Feedback on the recent customer service training.",Pending
20,HUMG589376,Expense Report,2024-08-11,"Expense report for the month of August.",Pending
21,HUMG825496,Leave Request,2024-08-16,"Requesting leave for relocation purposes from August 20 to August 25.",Pending
22,HUMG712594,Feedback,2024-08-21,"Feedback on the latest marketing campaign.",Pending
23,HUMG594731,Expense Report,2024-08-26,"Expense report for the month of August.",Pending
24,HUMG164283,Leave Request,2024-09-01,"Requesting leave for personal reasons from September 10 to September 15.",Pending
25,HUMG715269,Feedback,2024-09-06,"Feedback on the recent employee training workshop.",Pending
