id,user_id,date,result,fail_reason,rating
1,HUMG724596,2024-04-15,Completed,NULL,4.5
2,HUMG236580,2024-04-20,Completed,NULL,4.8
3,HUMG846732,2024-04-25,Completed,NULL,4.3
4,HUMG420146,2024-05-01,Completed,NULL,4.7
5,HUMG572138,2024-05-05,Completed,NULL,4.2
6,HUMG491206,2024-05-10,Completed,NULL,4.6
7,HUMG306840,2024-05-15,Completed,NULL,4.8
8,HUMG268938,2024-05-20,Completed,NULL,4.4
9,HUMG879256,2024-05-25,Completed,NULL,4.9
10,HUMG974385,2024-05-30,Completed,NULL,4.7
11,HUMG170349,2024-06-05,Completed,NULL,4.3
12,HUMG905832,2024-06-10,Completed,NULL,4.5
13,HUMG239670,2024-06-15,Completed,NULL,4.2
14,HUMG678943,2024-06-20,Completed,NULL,4.8
15,HUMG736401,2024-06-25,Completed,NULL,4.6
16,HUMG730549,2024-07-01,Completed,NULL,4.5
17,HUMG818245,2024-07-05,Completed,NULL,4.4
18,HUMG510367,2024-07-10,Completed,NULL,4.1
19,HUMG985274,2024-07-15,Completed,NULL,4.7
20,HUMG589376,2024-07-20,Completed,NULL,4.9
21,HUMG825496,2024-07-25,Completed,NULL,4.2
22,HUMG712594,2024-07-30,Completed,NULL,4.6
23,HUMG594731,2024-08-05,Completed,NULL,4.8
24,HUMG164283,2024-08-10,Completed,NULL,4.7
25,HUMG715269,2024-08-15,Completed,NULL,4.5
26,HUMG724596,2024-04-16,Not Completed,Internet connection issue,0
27,HUMG846732,2024-04-28,Not Completed,Personal reasons,0
28,HUMG491206,2024-05-12,Not Completed,Health issues,0
29,HUMG879256,2024-05-27,Not Completed,Technical difficulties,0
30,HUMG170349,2024-06-07,Not Completed,Software malfunction,0
31,HUMG678943,2024-06-22,Not Completed,Project scope change,0
32,HUMG818245,2024-07-07,Not Completed,Unexpected event,0
33,HUMG589376,2024-07-22,Not Completed,Equipment failure,0
34,HUMG594731,2024-08-07,Not Completed,Deadline conflict,0
35,HUMG715269,2024-08-17,Not Completed,Task complexity,0
